,date,MA1_9,MA2_9,MA3_9,MA1_12,MA2_12,MA3_12,MOM(1),MOM(2),MOM(3),MOM(6),MOM(9),MOM(12)
94,1986-05-16,0,0,0,0,0,0,1,1,1,1,1,1
95,1986-05-19,0,0,0,0,0,0,1,1,1,1,1,1
96,1986-05-20,0,0,0,0,0,0,0,1,1,1,1,1
97,1986-05-21,1,1,0,1,0,0,0,0,0,0,0,1
98,1986-05-22,0,1,1,0,1,0,1,0,0,1,1,1
99,1986-05-23,0,0,0,0,0,0,1,1,1,1,1,1
100,1986-05-27,1,0,0,1,0,0,0,0,0,0,0,0
101,1986-05-28,1,1,1,1,1,1,0,0,0,0,0,0
102,1986-05-29,1,1,1,1,1,1,0,0,0,0,0,0
103,1986-05-30,1,1,1,1,1,1,0,0,0,0,0,0
104,1986-06-02,1,1,1,1,1,1,0,0,0,0,0,0
105,1986-06-03,1,1,1,1,1,1,0,0,0,0,0,0
106,1986-06-04,1,1,1,1,1,1,0,0,0,0,0,0
107,1986-06-05,1,1,1,1,1,1,1,0,0,0,0,0
108,1986-06-06,1,1,1,1,1,1,0,0,0,0,0,0
109,1986-06-09,1,1,1,1,1,1,0,0,0,0,0,0
110,1986-06-10,1,1,1,1,1,1,0,0,0,0,0,0
111,1986-06-11,0,1,1,1,1,1,1,1,1,1,0,0
112,1986-06-12,0,0,0,0,0,1,1,1,1,1,0,0
113,1986-06-13,0,0,0,0,0,0,1,1,1,1,1,0
114,1986-06-16,0,0,0,0,0,0,0,0,1,1,1,0
115,1986-06-17,0,0,0,0,0,0,1,0,0,1,1,0
116,1986-06-18,0,0,0,0,0,0,0,0,0,1,1,0
117,1986-06-19,0,0,0,0,0,0,1,1,1,1,1,1
118,1986-06-20,0,0,0,0,0,0,1,1,1,1,1,1
119,1986-06-23,0,0,0,0,0,0,0,1,1,1,1,1
120,1986-06-24,0,0,0,0,0,0,0,0,1,1,1,1
121,1986-06-25,1,1,1,1,1,0,0,0,0,0,0,1
122,1986-06-26,1,1,1,1,1,1,0,0,0,0,0,1
123,1986-06-27,1,1,1,1,1,1,1,1,0,0,0,0
124,1986-06-30,1,1,1,1,1,1,0,0,0,0,0,0
125,1986-07-01,1,1,1,1,1,1,0,0,0,0,0,0
126,1986-07-02,1,1,1,1,1,1,0,0,0,0,0,0
127,1986-07-03,1,1,1,1,1,1,0,0,0,0,0,0
128,1986-07-07,1,1,1,1,1,1,0,0,0,0,0,0
129,1986-07-08,1,1,1,1,1,1,1,0,0,0,0,0
130,1986-07-09,1,1,1,1,1,1,0,0,0,0,0,0
131,1986-07-10,1,1,1,1,1,1,1,0,0,0,0,0
132,1986-07-11,1,1,1,1,1,1,1,1,0,0,0,0
133,1986-07-14,1,1,1,1,1,1,1,1,1,0,0,0
134,1986-07-15,0,0,0,0,1,1,1,1,1,1,0,0
135,1986-07-16,0,0,0,0,0,0,1,1,1,1,1,0
136,1986-07-17,0,0,0,0,0,0,0,1,1,1,1,0
137,1986-07-18,0,0,0,0,0,0,1,1,1,1,1,1
138,1986-07-21,0,0,0,0,0,0,1,1,1,1,1,1
139,1986-07-22,1,0,0,1,0,0,0,0,0,0,0,0
140,1986-07-23,1,1,1,1,1,1,0,0,0,0,0,0
141,1986-07-24,1,1,1,1,1,1,1,1,0,0,0,0
142,1986-07-25,1,1,1,1,1,1,0,1,0,0,0,0
143,1986-07-28,1,1,1,1,1,1,1,1,1,0,0,0
144,1986-07-29,0,1,1,1,1,1,1,1,1,0,0,1
145,1986-07-30,0,0,1,0,1,1,1,1,1,1,0,1
146,1986-07-31,1,0,0,1,1,1,0,0,1,1,0,0
147,1986-08-01,0,0,0,1,1,1,1,0,0,1,0,0
148,1986-08-04,0,0,0,0,0,0,1,1,1,1,1,1
149,1986-08-05,0,0,0,0,0,0,1,1,1,1,1,1
150,1986-08-06,0,0,0,0,0,0,1,1,1,1,1,1
151,1986-08-07,0,0,0,0,0,0,1,1,1,1,1,1
152,1986-08-08,0,0,0,0,0,0,0,1,1,1,1,1
153,1986-08-11,0,0,0,0,0,0,1,0,1,1,1,1
154,1986-08-12,0,0,0,0,0,0,1,1,1,1,1,1
155,1986-08-13,0,0,0,0,0,0,0,1,1,1,1,1
156,1986-08-14,0,0,0,0,0,0,1,0,1,1,1,1
157,1986-08-15,0,0,0,0,0,0,1,1,1,1,1,1
158,1986-08-18,0,0,0,0,0,0,0,1,1,1,1,1
159,1986-08-19,1,1,0,1,0,0,0,0,0,1,1,1
160,1986-08-20,1,1,1,0,1,0,1,0,0,0,1,1
161,1986-08-21,1,1,1,1,1,1,1,1,0,0,1,1
162,1986-08-22,0,1,1,0,0,0,1,1,1,1,1,1
163,1986-08-25,0,0,0,0,0,0,1,1,1,0,0,1
164,1986-08-26,0,0,0,0,0,0,1,1,1,1,1,1
165,1986-08-27,0,0,0,0,0,0,1,1,1,1,1,1
166,1986-08-28,0,0,0,0,0,0,1,1,1,1,1,1
167,1986-08-29,0,0,0,0,0,0,1,1,1,1,1,1
168,1986-09-02,0,0,0,0,0,0,1,1,1,1,1,1
169,1986-09-03,0,0,0,0,0,0,0,1,1,1,1,1
170,1986-09-04,0,0,0,0,0,0,1,0,1,1,1,1
171,1986-09-05,1,0,0,1,0,0,0,0,0,0,1,1
172,1986-09-08,1,1,1,1,1,0,1,0,0,0,1,1
173,1986-09-09,1,1,1,1,1,1,0,0,0,0,0,0
174,1986-09-10,1,1,1,1,1,1,0,0,0,0,0,0
175,1986-09-11,1,1,1,1,1,1,1,1,0,0,0,0
176,1986-09-12,1,1,1,1,1,1,1,1,1,0,0,0
177,1986-09-15,1,1,1,1,1,1,0,0,0,0,0,0
178,1986-09-16,1,1,1,1,1,1,0,0,0,0,0,0
179,1986-09-17,1,1,1,1,1,1,1,0,0,0,0,0
180,1986-09-18,1,1,1,1,1,1,1,1,1,0,0,0
181,1986-09-19,1,1,1,1,1,1,0,1,1,0,0,0
182,1986-09-22,1,1,1,1,1,1,0,0,0,0,0,0
183,1986-09-23,1,1,1,1,1,1,1,0,0,0,0,0
184,1986-09-24,0,0,1,0,1,1,1,1,1,1,0,0
185,1986-09-25,0,0,0,1,1,1,0,0,1,1,0,0
186,1986-09-26,0,0,0,0,1,0,1,0,1,0,1,0
187,1986-09-29,0,0,0,0,0,0,1,1,1,1,1,0
188,1986-09-30,0,0,0,0,0,0,0,1,1,1,1,0
189,1986-10-01,0,0,0,0,0,0,1,1,1,1,1,1
190,1986-10-02,0,0,0,0,0,0,1,1,1,1,1,1
191,1986-10-03,0,0,0,0,0,0,0,0,1,1,1,1
192,1986-10-06,0,0,0,0,0,0,0,0,0,1,1,1
193,1986-10-07,0,0,0,0,0,0,1,1,1,1,1,1
194,1986-10-08,0,0,0,0,0,0,0,1,1,1,1,1
195,1986-10-09,1,0,0,0,0,0,0,0,1,0,1,1
196,1986-10-10,1,1,0,0,0,0,0,0,0,0,1,1
197,1986-10-14,1,1,1,1,1,1,0,0,0,0,0,1
198,1986-10-15,1,1,1,1,1,1,1,0,0,1,0,1
199,1986-10-16,1,1,1,1,1,1,0,0,0,0,0,0
200,1986-10-17,1,1,1,1,1,1,1,1,1,0,0,1
201,1986-10-20,0,0,1,0,0,1,1,1,1,1,1,0
202,1986-10-21,0,0,0,0,0,0,1,1,1,1,0,0
203,1986-10-22,1,0,0,1,0,0,0,0,1,1,0,0
204,1986-10-23,0,1,0,1,1,1,1,0,0,1,0,1
205,1986-10-24,0,0,0,1,1,1,1,1,0,1,0,0
206,1986-10-27,1,1,1,1,1,1,0,0,0,0,0,0
207,1986-10-28,1,1,1,1,1,1,0,0,0,0,0,0
208,1986-10-29,1,1,1,1,1,1,0,0,0,0,0,0
209,1986-10-30,0,1,1,0,1,1,1,1,1,1,1,1
210,1986-10-31,0,0,1,0,0,1,1,1,1,1,1,1
211,1986-11-03,0,0,0,1,0,0,0,0,1,0,0,1
212,1986-11-04,0,0,0,0,0,0,1,0,0,1,1,1
213,1986-11-05,0,0,0,0,0,0,0,1,0,1,1,0
214,1986-11-06,0,0,0,0,0,0,1,1,1,1,1,0
215,1986-11-07,0,0,0,0,0,0,1,1,1,1,1,1
216,1986-11-10,0,0,0,0,0,0,1,1,1,1,1,1
217,1986-11-11,0,0,0,0,0,0,1,1,1,1,1,1
218,1986-11-12,0,0,0,0,0,0,0,1,1,1,1,1
219,1986-11-13,0,0,0,0,0,0,1,1,1,1,1,1
220,1986-11-14,0,0,0,0,0,0,1,1,1,1,1,1
221,1986-11-17,0,0,0,0,0,0,0,1,1,1,1,1
222,1986-11-18,0,0,0,0,0,0,1,0,1,1,1,1
223,1986-11-19,0,0,0,0,0,0,0,0,0,1,1,1
224,1986-11-20,1,1,1,1,1,0,0,0,0,0,0,1
225,1986-11-21,1,1,1,1,1,1,1,0,0,0,0,1
226,1986-11-24,1,1,1,1,1,1,0,0,0,0,0,0
227,1986-11-25,1,1,1,1,1,1,1,0,0,0,0,0
228,1986-11-26,1,1,1,1,1,1,0,1,0,0,0,0
229,1986-11-28,1,1,1,1,1,1,1,0,1,0,0,0
230,1986-12-01,0,1,1,1,1,1,1,1,1,1,0,0
231,1986-12-02,0,0,0,1,1,1,0,1,1,1,0,0
232,1986-12-03,0,0,0,1,1,1,0,0,1,1,0,0
233,1986-12-04,0,0,0,0,1,1,1,0,0,1,1,0
234,1986-12-05,0,0,0,1,0,0,0,1,0,1,1,0
235,1986-12-08,1,1,0,1,1,0,0,0,0,1,1,0
236,1986-12-09,1,1,1,1,1,1,0,0,0,0,0,0
237,1986-12-10,0,1,1,0,1,1,1,1,0,0,1,0
238,1986-12-11,0,0,0,0,0,0,1,1,1,1,1,1
239,1986-12-12,0,0,0,0,0,0,1,1,1,1,1,1
240,1986-12-15,0,0,0,0,0,0,1,1,1,1,1,1
241,1986-12-16,0,0,0,0,0,0,0,0,1,1,1,1
242,1986-12-17,0,0,0,0,0,0,0,0,0,1,1,1
243,1986-12-18,0,0,0,0,0,0,1,1,0,1,1,1
244,1986-12-19,0,0,0,0,0,0,1,1,1,1,1,1
245,1986-12-22,0,0,0,0,0,0,1,1,1,1,1,1
246,1986-12-23,0,0,0,0,0,0,0,1,1,1,1,1
