DATE,M2SL
1979-01-01,1371.6
1979-02-01,1377.8
1979-03-01,1387.8
1979-04-01,1402.1
1979-05-01,1410.2
1979-06-01,1423.0
1979-07-01,1434.8
1979-08-01,1446.6
1979-09-01,1454.1
1979-10-01,1460.4
1979-11-01,1465.9
1979-12-01,1473.7
1980-01-01,1482.7
1980-02-01,1494.6
1980-03-01,1499.8
1980-04-01,1502.2
1980-05-01,1512.3
1980-06-01,1529.2
1980-07-01,1545.5
1980-08-01,1561.5
1980-09-01,1574.0
1980-10-01,1584.8
1980-11-01,1595.8
1980-12-01,1599.8
1981-01-01,1606.9
1981-02-01,1618.7
1981-03-01,1636.6
1981-04-01,1659.2
1981-05-01,1664.2
1981-06-01,1670.3
1981-07-01,1681.9
1981-08-01,1694.3
1981-09-01,1706.0
1981-10-01,1721.8
1981-11-01,1736.1
1981-12-01,1755.5
1982-01-01,1770.4
1982-02-01,1774.5
1982-03-01,1786.5
1982-04-01,1803.9
1982-05-01,1815.4
1982-06-01,1826.0
1982-07-01,1831.5
1982-08-01,1845.2
1982-09-01,1858.4
1982-10-01,1869.7
1982-11-01,1883.7
1982-12-01,1905.9
1983-01-01,1959.4
1983-02-01,1996.8
1983-03-01,2015.2
1983-04-01,2028.6
1983-05-01,2043.1
1983-06-01,2053.5
1983-07-01,2064.8
1983-08-01,2074.0
1983-09-01,2083.2
1983-10-01,2099.2
1983-11-01,2112.3
1983-12-01,2123.5
1984-01-01,2138.2
1984-02-01,2158.2
1984-03-01,2175.2
1984-04-01,2191.7
1984-05-01,2204.1
1984-06-01,2215.1
1984-07-01,2223.5
1984-08-01,2230.4
1984-09-01,2244.4
1984-10-01,2258.9
1984-11-01,2281.4
1984-12-01,2306.4
1985-01-01,2332.4
1985-02-01,2354.1
1985-03-01,2366.2
1985-04-01,2375.4
1985-05-01,2389.5
1985-06-01,2412.6
1985-07-01,2429.5
1985-08-01,2444.0
1985-09-01,2456.4
1985-10-01,2468.0
1985-11-01,2477.8
1985-12-01,2492.1
1986-01-01,2502.1
1986-02-01,2512.9
1986-03-01,2533.1
1986-04-01,2557.8
1986-05-01,2584.8
1986-06-01,2605.0
1986-07-01,2626.6
1986-08-01,2646.5
1986-09-01,2667.8
1986-10-01,2687.4
1986-11-01,2701.3
1986-12-01,2728.0
1987-01-01,2743.9
1987-02-01,2747.5
1987-03-01,2753.7
1987-04-01,2767.7
1987-05-01,2772.9
1987-06-01,2774.6
1987-07-01,2779.0
1987-08-01,2788.2
1987-09-01,2799.5
1987-10-01,2814.8
1987-11-01,2818.9
1987-12-01,2826.4
1988-01-01,2847.4
1988-02-01,2870.4
1988-03-01,2890.7
1988-04-01,2910.7
1988-05-01,2926.0
1988-06-01,2938.4
1988-07-01,2947.2
1988-08-01,2952.0
1988-09-01,2956.9
1988-10-01,2965.3
1988-11-01,2980.2
1988-12-01,2988.2
1989-01-01,2991.7
1989-02-01,2992.2
1989-03-01,2999.7
1989-04-01,3006.0
1989-05-01,3011.6
1989-06-01,3027.9
1989-07-01,3052.4
1989-08-01,3074.4
1989-09-01,3092.5
1989-10-01,3114.1
1989-11-01,3133.3
1989-12-01,3152.5
1990-01-01,3166.8
1990-02-01,3179.2
1990-03-01,3190.1
1990-04-01,3201.6
1990-05-01,3200.6
1990-06-01,3213.7
1990-07-01,3224.5
1990-08-01,3242.0
1990-09-01,3254.6
1990-10-01,3259.3
1990-11-01,3262.6
1990-12-01,3271.8
1991-01-01,3287.7
1991-02-01,3304.5
1991-03-01,3321.9
1991-04-01,3332.4
1991-05-01,3343.0
1991-06-01,3351.9
1991-07-01,3356.1
1991-08-01,3355.0
1991-09-01,3354.9
1991-10-01,3360.1
1991-11-01,3365.5
1991-12-01,3372.2
1992-01-01,3381.2
1992-02-01,3400.0
1992-03-01,3403.9
1992-04-01,3399.7
1992-05-01,3398.6
1992-06-01,3393.4
1992-07-01,3393.9
1992-08-01,3398.8
1992-09-01,3410.3
1992-10-01,3423.8
1992-11-01,3426.5
1992-12-01,3424.7
1993-01-01,3419.1
1993-02-01,3414.5
1993-03-01,3411.7
1993-04-01,3411.3
1993-05-01,3436.9
1993-06-01,3442.4
1993-07-01,3442.0
1993-08-01,3445.7
1993-09-01,3452.2
1993-10-01,3456.7
1993-11-01,3470.1
1993-12-01,3474.5
1994-01-01,3474.9
1994-02-01,3475.7
1994-03-01,3480.1
1994-04-01,3481.3
1994-05-01,3490.8
1994-06-01,3479.5
1994-07-01,3488.2
1994-08-01,3485.7
1994-09-01,3486.1
1994-10-01,3484.3
1994-11-01,3487.2
1994-12-01,3486.4
1995-01-01,3492.4
1995-02-01,3489.9
1995-03-01,3491.1
1995-04-01,3499.2
1995-05-01,3524.2
1995-06-01,3548.9
1995-07-01,3567.4
1995-08-01,3589.0
1995-09-01,3602.1
1995-10-01,3613.4
1995-11-01,3619.9
1995-12-01,3629.5
1996-01-01,3647.9
1996-02-01,3661.8
1996-03-01,3686.9
1996-04-01,3697.7
1996-05-01,3709.6
1996-06-01,3722.5
1996-07-01,3737.1
1996-08-01,3744.0
1996-09-01,3753.4
1996-10-01,3772.8
1996-11-01,3795.1
1996-12-01,3818.6
1997-01-01,3834.6
1997-02-01,3846.3
1997-03-01,3861.2
1997-04-01,3877.0
1997-05-01,3889.2
1997-06-01,3906.0
1997-07-01,3923.9
1997-08-01,3957.4
1997-09-01,3973.1
1997-10-01,3992.3
1997-11-01,4014.8
1997-12-01,4032.9
1998-01-01,4056.2
1998-02-01,4088.9
1998-03-01,4114.3
1998-04-01,4140.2
1998-05-01,4164.4
1998-06-01,4184.1
1998-07-01,4203.8
1998-08-01,4228.7
1998-09-01,4267.6
1998-10-01,4307.7
1998-11-01,4346.4
1998-12-01,4375.2
1999-01-01,4402.6
1999-02-01,4425.3
1999-03-01,4432.1
1999-04-01,4460.7
1999-05-01,4485.3
1999-06-01,4507.2
1999-07-01,4534.5
1999-08-01,4551.7
1999-09-01,4567.7
1999-10-01,4591.5
1999-11-01,4610.5
1999-12-01,4638.0
2000-01-01,4666.2
2000-02-01,4679.4
2000-03-01,4710.2
2000-04-01,4766.1
2000-05-01,4753.9
2000-06-01,4771.8
2000-07-01,4789.4
2000-08-01,4817.5
2000-09-01,4853.2
2000-10-01,4869.2
2000-11-01,4880.3
2000-12-01,4925.0
2001-01-01,4975.7
2001-02-01,5014.1
2001-03-01,5072.0
2001-04-01,5135.9
2001-05-01,5133.0
2001-06-01,5173.5
2001-07-01,5203.4
2001-08-01,5237.2
2001-09-01,5348.4
2001-10-01,5337.1
2001-11-01,5380.8
2001-12-01,5433.8
2002-01-01,5454.1
2002-02-01,5483.4
2002-03-01,5495.2
2002-04-01,5495.4
2002-05-01,5521.5
2002-06-01,5546.5
2002-07-01,5589.1
2002-08-01,5631.6
2002-09-01,5656.0
2002-10-01,5700.4
2002-11-01,5750.6
2002-12-01,5772.0
2003-01-01,5804.6
2003-02-01,5840.7
2003-03-01,5861.4
2003-04-01,5898.8
2003-05-01,5959.3
2003-06-01,5996.0
2003-07-01,6042.7
2003-08-01,6100.8
2003-09-01,6072.8
2003-10-01,6063.6
2003-11-01,6069.1
2003-12-01,6067.3
2004-01-01,6075.5
2004-02-01,6114.3
2004-03-01,6150.1
2004-04-01,6191.2
2004-05-01,6268.1
2004-06-01,6270.5
2004-07-01,6284.3
2004-08-01,6310.6
2004-09-01,6345.3
2004-10-01,6373.3
2004-11-01,6399.8
2004-12-01,6418.3
2005-01-01,6424.5
2005-02-01,6432.8
2005-03-01,6441.9
2005-04-01,6455.9
2005-05-01,6473.3
2005-06-01,6505.8
2005-07-01,6537.4
2005-08-01,6570.2
2005-09-01,6604.3
2005-10-01,6638.6
2005-11-01,6655.0
2005-12-01,6681.9
2006-01-01,6724.3
2006-02-01,6748.6
2006-03-01,6762.9
2006-04-01,6800.1
2006-05-01,6806.9
2006-06-01,6844.9
2006-07-01,6886.3
2006-08-01,6917.1
2006-09-01,6944.2
2006-10-01,6993.3
2006-11-01,7028.4
2006-12-01,7071.6
2007-01-01,7109.6
2007-02-01,7125.3
2007-03-01,7159.1
2007-04-01,7231.3
2007-05-01,7245.4
2007-06-01,7278.6
2007-07-01,7309.0
2007-08-01,7385.1
2007-09-01,7403.2
2007-10-01,7417.2
2007-11-01,7441.8
2007-12-01,7471.6
2008-01-01,7505.5
2008-02-01,7590.6
2008-03-01,7656.2
2008-04-01,7699.2
2008-05-01,7711.2
2008-06-01,7728.9
2008-07-01,7775.4
2008-08-01,7790.2
2008-09-01,7859.5
2008-10-01,7965.3
2008-11-01,8015.8
2008-12-01,8192.1
2009-01-01,8273.7
2009-02-01,8303.1
2009-03-01,8369.3
2009-04-01,8372.9
2009-05-01,8430.7
2009-06-01,8440.5
2009-07-01,8445.1
2009-08-01,8445.0
2009-09-01,8444.2
2009-10-01,8471.1
2009-11-01,8500.8
2009-12-01,8496.0
2010-01-01,8458.1
2010-02-01,8507.4
2010-03-01,8504.5
2010-04-01,8535.2
2010-05-01,8589.9
2010-06-01,8609.0
2010-07-01,8618.8
2010-08-01,8669.1
2010-09-01,8700.1
2010-10-01,8749.4
2010-11-01,8770.0
2010-12-01,8801.8
2011-01-01,8823.1
2011-02-01,8886.9
2011-03-01,8943.5
2011-04-01,9004.9
2011-05-01,9075.5
2011-06-01,9151.0
2011-07-01,9316.6
2011-08-01,9507.6
2011-09-01,9528.3
2011-10-01,9562.1
2011-11-01,9612.6
2011-12-01,9660.1
2012-01-01,9733.3
2012-02-01,9785.7
2012-03-01,9830.6
2012-04-01,9884.6
2012-05-01,9928.4
2012-06-01,9999.3
2012-07-01,10051.8
2012-08-01,10121.3
2012-09-01,10200.8
2012-10-01,10267.3
2012-11-01,10337.6
2012-12-01,10459.7
2013-01-01,10479.5
2013-02-01,10482.0
2013-03-01,10550.0
2013-04-01,10585.9
2013-05-01,10628.2
2013-06-01,10684.9
2013-07-01,10730.8
2013-08-01,10790.2
2013-09-01,10841.3
2013-10-01,10956.7
2013-11-01,10969.0
2013-12-01,11028.8
2014-01-01,11078.9
2014-02-01,11161.0
2014-03-01,11200.2
2014-04-01,11256.9
2014-05-01,11326.3
2014-06-01,11380.7
2014-07-01,11439.9
2014-08-01,11469.4
2014-09-01,11502.8
2014-10-01,11563.4
2014-11-01,11604.7
2014-12-01,11681.5
2015-01-01,11745.2
2015-02-01,11863.9
2015-03-01,11879.6
2015-04-01,11927.4
2015-05-01,11960.3
2015-06-01,12005.8
2015-07-01,12058.4
2015-08-01,12109.5
2015-09-01,12164.5
2015-10-01,12196.8
2015-11-01,12286.0
2015-12-01,12344.0
2016-01-01,12470.0
2016-02-01,12545.6
2016-03-01,12609.7
2016-04-01,12698.4
2016-05-01,12765.6
2016-06-01,12831.9
2016-07-01,12892.0
2016-08-01,12978.2
2016-09-01,13037.9
2016-10-01,13105.4
2016-11-01,13176.5
2016-12-01,13209.6
2017-01-01,13282.7
2017-02-01,13351.4
2017-03-01,13420.6
2017-04-01,13482.9
2017-05-01,13534.8
2017-06-01,13558.9
2017-07-01,13621.0
2017-08-01,13679.6
2017-09-01,13722.1
2017-10-01,13777.4
2017-11-01,13804.1
2017-12-01,13852.3
2018-01-01,13868.2
2018-02-01,13910.2
2018-03-01,13965.5
2018-04-01,13987.7
2018-05-01,14041.2
2018-06-01,14102.6
2018-07-01,14137.0
2018-08-01,14187.4
2018-09-01,14214.6
2018-10-01,14228.5
2018-11-01,14241.6
2018-12-01,14358.8
2019-01-01,14430.8
2019-02-01,14472.3
2019-03-01,14510.7
2019-04-01,14541.0
2019-05-01,14632.5
2019-06-01,14754.8
2019-07-01,14833.8
2019-08-01,14919.8
2019-09-01,15004.8
2019-10-01,15144.2
2019-11-01,15249.9
2019-12-01,15319.1
2020-01-01,15401.8
2020-02-01,15458.7
2020-03-01,15988.6
2020-04-01,17002.5
2020-05-01,17835.2
2020-06-01,18129.3
2020-07-01,18277.8
2020-08-01,18357.4
2020-09-01,18575.2
2020-10-01,18735.7
2020-11-01,18969.8
2020-12-01,19124.7
2021-01-01,19372.3
2021-02-01,19614.9
2021-03-01,19853.7
2021-04-01,20110.6
2021-05-01,20418.7
2021-06-01,20460.1
2021-07-01,20615.3
2021-08-01,20835.5
2021-09-01,20965.9
2021-10-01,21144.0
2021-11-01,21349.4
2021-12-01,21490.0
2022-01-01,21649.7
2022-02-01,21708.6
2022-03-01,21739.7
2022-04-01,21644.2
2022-05-01,21649.2
2022-06-01,21607.7
2022-07-01,21636.2
2022-08-01,21632.4
2022-09-01,21503.4
