Date,Open,High,Low,Close,Volume
1997-01-31,740.74,794.67,729.55,786.16,6464349998
1997-02-28,786.16,817.68,773.43,790.82,5397738890
1997-03-31,790.82,814.9,756.13,757.12,5622644442
1997-04-30,757.12,804.13,733.54,801.34,5808266665
1997-05-31,801.34,851.87,793.21,848.28,5614805555
1997-06-30,848.28,902.09,838.82,885.14,6032194443
1997-07-31,885.14,957.73,884.54,954.31,6643400001
1997-08-31,954.29,964.17,893.34,899.47,5892277779
1997-09-30,899.47,960.59,899.47,947.28,6323888891
1997-10-31,947.28,983.12,855.27,914.62,7787366667
1997-11-30,914.62,964.55,900.61,955.4,5652011111
1997-12-31,955.4,986.25,924.92,970.43,6643822225
1998-01-31,970.43,992.65,912.83,980.28,7074350003
1998-02-28,980.28,1051.66,980.28,1049.34,6475861110
1998-03-31,1049.34,1113.07,1030.87,1101.75,7621994443
1998-04-30,1101.75,1132.98,1076.7,1111.75,7586699999
1998-05-31,1111.75,1130.52,1074.39,1090.82,6376188890
1998-06-30,1090.82,1145.15,1074.67,1133.84,7528872223
1998-07-31,1133.84,1190.58,1114.3,1120.67,7886000001
1998-08-31,1120.67,1121.79,957.28,957.28,8373083335
1998-09-30,957.28,1066.11,939.98,1017.01,9285600002
1998-10-31,1017.01,1103.78,923.32,1098.67,10000916665
1998-11-30,1098.67,1192.97,1098.67,1163.63,7472933335
1998-12-31,1163.63,1244.93,1136.89,1229.23,8434138890
1999-01-31,1229.23,1280.37,1205.46,1279.64,9007500001
1999-02-28,1279.64,1283.84,1211.89,1238.33,8086588888
1999-03-31,1238.33,1323.82,1216.03,1286.37,10001388890
1999-04-30,1286.37,1371.56,1282.56,1335.18,10290666667
1999-05-31,1335.18,1375.98,1277.31,1301.84,8822366667
1999-06-30,1301.84,1372.93,1277.47,1372.71,8932872226
1999-07-31,1372.71,1420.33,1328.49,1328.72,8518294443
1999-08-31,1328.72,1382.84,1267.73,1320.41,8788083333
1999-09-30,1320.41,1361.39,1256.26,1282.71,9132611113
1999-10-31,1282.71,1373.17,1233.7,1362.93,10462222222
1999-11-30,1362.93,1425.31,1346.41,1389.07,10213788889
1999-12-31,1388.91,1473.13,1387.38,1469.25,10911494445
2000-01-31,1469.25,1478,1350.14,1394.46,11941333334
2000-02-29,1394.46,1444.55,1325.07,1366.42,11617777779
2000-03-31,1366.42,1552.87,1346.62,1498.58,14531222225
2000-04-30,1498.58,1527.19,1339.4,1452.43,11170255554
2000-05-31,1452.43,1481.51,1361.09,1420.6,11054611110
2000-06-30,1420.6,1488.93,1420.6,1454.6,12076833336
2000-07-31,1454.6,1517.32,1413.89,1430.83,10605055554
2000-08-31,1430.83,1525.21,1425.43,1517.68,11313166668
2000-09-30,1517.68,1530.09,1419.44,1436.51,11576833333
2000-10-31,1436.52,1454.82,1305.79,1429.4,14417444445
2000-11-30,1429.4,1438.46,1294.9,1314.95,11406833334
2000-12-31,1314.95,1389.05,1254.07,1320.28,13117111114
2001-01-31,1320.28,1383.37,1274.62,1366.01,15461000000
2001-02-28,1366.01,1376.38,1215.44,1239.94,12024666666
2001-03-31,1239.94,1267.42,1081.19,1160.33,15448116667
2001-04-30,1160.33,1269.3,1091.99,1249.46,14116661111
2001-05-31,1249.46,1315.93,1232,1255.82,13625500000
2001-06-30,1255.82,1286.62,1203.03,1224.38,13748905556
2001-07-31,1224.42,1239.78,1165.54,1211.23,13218727778
2001-08-31,1211.23,1226.27,1124.87,1133.58,12977333333
2001-09-30,1133.58,1155.4,944.75,1040.94,13902938889
2001-10-31,1040.94,1110.61,1026.76,1059.78,16639600001
2001-11-30,1059.78,1163.38,1054.31,1139.45,14627777780
2001-12-31,1139.45,1173.62,1114.53,1148.08,13960316666
2002-01-31,1148.08,1176.97,1081.66,1130.2,16525666669
2002-02-28,1130.2,1130.2,1074.36,1106.73,14470888889
2002-03-31,1106.73,1173.94,1106.73,1147.39,14757333332
2002-04-30,1147.39,1147.84,1063.46,1076.92,15871611110
2002-05-31,1076.92,1106.59,1048.96,1067.14,14947500000
